act_set,lang,layer,mm_train_acc,mm_test_acc,mm_nat_roc_auc,mm_nat_bal_acc,lr_train_acc,lr_test_acc,lr_nat_roc_auc,lr_nat_bal_acc
avg,arabic,5,1.0,1.0,0.42863984674329497,0.41786399483680725,1.0,1.0,0.5052681992337165,0.5
avg,arabic,6,1.0,1.0,0.42852011494252873,0.506465494632721,1.0,1.0,0.4592911877394636,0.5
avg,arabic,7,1.0,1.0,0.5107758620689655,0.46336206793785095,1.0,1.0,0.5007183908045978,0.5
avg,arabic,8,1.0,1.0,0.5,0.5,1.0,1.0,0.54477969348659,0.516523003578186
avg,arabic,9,1.0,1.0,0.5,0.5,1.0,1.0,0.5201149425287357,0.5
avg,arabic,10,1.0,1.0,0.5,0.5,1.0,1.0,0.5371168582375478,0.4655172526836395
avg,arabic,11,1.0,1.0,0.5,0.5,1.0,1.0,0.5469348659003832,0.5
avg,arabic,12,1.0,1.0,0.5,0.5,1.0,1.0,0.6652298850574713,0.5
avg,arabic,13,1.0,1.0,0.5,0.5,1.0,1.0,0.6142241379310345,0.5
avg,arabic,14,1.0,1.0,0.5,0.5,1.0,1.0,0.6257183908045978,0.5
avg,arabic,15,1.0,1.0,0.5086206896551724,0.5,1.0,1.0,0.591235632183908,0.5
avg,arabic,16,1.0,1.0,0.5280172413793103,0.5107758641242981,1.0,1.0,0.7248563218390806,0.5
avg,arabic,17,1.0,1.0,0.560823754789272,0.5438218116760254,1.0,1.0,0.7329980842911877,0.5213122367858887
avg,arabic,18,1.0,1.0,0.6129070881226053,0.49568966031074524,1.0,1.0,0.8019636015325671,0.5
avg,arabic,19,1.0,1.0,0.4698275862068966,0.5,1.0,1.0,0.7533524904214559,0.5
avg,arabic,20,1.0,1.0,0.5,0.5,1.0,1.0,0.7895114942528736,0.5
avg,arabic,21,1.0,1.0,0.5,0.5,1.0,1.0,0.8402777777777777,0.5
avg,arabic,22,1.0,1.0,0.5,0.5,1.0,1.0,0.8642241379310345,0.5
avg,arabic,23,1.0,1.0,0.5,0.5,1.0,1.0,0.8888888888888888,0.5
avg,arabic,24,1.0,1.0,0.5,0.5,1.0,1.0,0.8587164750957855,0.5
avg,arabic,25,1.0,1.0,0.5,0.5,1.0,1.0,0.8795498084291188,0.5
avg,arabic,26,1.0,1.0,0.5,0.5,1.0,1.0,0.8206417624521073,0.5
avg,arabic,27,1.0,1.0,0.5470545977011495,0.5538793206214905,1.0,1.0,0.7380268199233717,0.5
avg,arabic,28,1.0,1.0,0.5,0.5,1.0,1.0,0.6922892720306513,0.5
avg,arabic,29,1.0,1.0,0.5,0.5,1.0,1.0,0.6087164750957854,0.5
avg,arabic,30,1.0,1.0,0.5,0.5,1.0,1.0,0.5371168582375478,0.5
avg,arabic,31,1.0,1.0,0.5,0.5,1.0,1.0,0.5811781609195403,0.5
avg,arabic,32,1.0,1.0,0.5,0.5,1.0,1.0,0.5682471264367817,0.5
avg,arabic,33,0.9983333349227905,0.996666669845581,0.5,0.5,1.0,1.0,0.5007183908045977,0.5
avg,arabic,34,0.9449999928474426,0.9599999785423279,0.5,0.5,1.0,1.0,0.560823754789272,0.5189176201820374
avg,arabic,35,0.9900000095367432,0.9900000095367432,0.5,0.5,1.0,1.0,0.5632183908045978,0.5134099721908569
avg,english,5,0.5,0.5,0.5465151515151516,0.5181818008422852,1.0,1.0,0.541969696969697,0.5
avg,english,6,0.5,0.5,0.5310606060606061,0.5,1.0,1.0,0.5325757575757576,0.5
avg,english,7,1.0,1.0,0.515,0.5098484754562378,1.0,1.0,0.5142424242424243,0.5
avg,english,8,1.0,1.0,0.4968181818181819,0.5,1.0,1.0,0.5009090909090909,0.5
avg,english,9,1.0,1.0,0.49818181818181817,0.4742424190044403,1.0,1.0,0.5240909090909092,0.5
avg,english,10,1.0,1.0,0.49924242424242427,0.5060606002807617,1.0,1.0,0.5243939393939394,0.5
avg,english,11,1.0,1.0,0.5257575757575758,0.49848484992980957,1.0,1.0,0.5975757575757575,0.5
avg,english,12,1.0,1.0,0.5579545454545455,0.5598484873771667,1.0,1.0,0.6796969696969697,0.5
avg,english,13,1.0,1.0,0.6156060606060606,0.5818182229995728,1.0,1.0,0.7327272727272728,0.5
avg,english,14,1.0,1.0,0.5812878787878788,0.5249999761581421,1.0,1.0,0.7366666666666668,0.5166666507720947
avg,english,15,1.0,1.0,0.6209848484848486,0.553787887096405,1.0,1.0,0.7553030303030303,0.5166666507720947
avg,english,16,1.0,1.0,0.6300757575757576,0.5742424130439758,1.0,1.0,0.8381818181818183,0.7166666984558105
avg,english,17,1.0,1.0,0.6656060606060606,0.5916666984558105,1.0,1.0,0.8536363636363636,0.7015151381492615
avg,english,18,1.0,1.0,0.7222727272727273,0.6666666269302368,1.0,1.0,0.858030303030303,0.5954545736312866
avg,english,19,1.0,1.0,0.7098484848484848,0.6340909004211426,1.0,1.0,0.8621212121212122,0.5666666626930237
avg,english,20,1.0,1.0,0.7566666666666667,0.5333333611488342,1.0,1.0,0.8915151515151516,0.5
avg,english,21,1.0,1.0,0.7384848484848484,0.5,1.0,1.0,0.9203030303030303,0.5166666507720947
avg,english,22,1.0,1.0,0.6983333333333333,0.5,1.0,1.0,0.9543939393939394,0.5666666626930237
avg,english,23,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.9481818181818181,0.5
avg,english,24,1.0,1.0,0.8391666666666666,0.7810605764389038,1.0,1.0,0.9315151515151515,0.5
avg,english,25,1.0,1.0,0.7116666666666667,0.678787887096405,1.0,1.0,0.9112121212121213,0.678787887096405
avg,english,26,1.0,1.0,0.5,0.5,1.0,1.0,0.8856060606060606,0.8439394235610962
avg,english,27,1.0,1.0,0.6260606060606061,0.5333333611488342,1.0,1.0,0.8248484848484848,0.7696969509124756
avg,english,28,1.0,1.0,0.6353030303030303,0.5787878632545471,1.0,1.0,0.8157575757575758,0.5477272868156433
avg,english,29,1.0,1.0,0.6970454545454545,0.6749999523162842,1.0,1.0,0.7721212121212121,0.7083333134651184
avg,english,30,1.0,1.0,0.5022727272727272,0.5022727251052856,1.0,1.0,0.7715151515151516,0.5166666507720947
avg,english,31,0.9950000047683716,0.996666669845581,0.5,0.5,1.0,1.0,0.7716666666666667,0.5
avg,english,32,1.0,1.0,0.5,0.5,1.0,1.0,0.6866666666666666,0.5409091114997864
avg,english,33,0.9983333349227905,1.0,0.5,0.5,1.0,1.0,0.6671212121212121,0.5439394116401672
avg,english,34,0.9933333396911621,0.9916666746139526,0.5,0.5,1.0,1.0,0.6430303030303031,0.5
avg,english,35,0.996666669845581,0.996666669845581,0.5,0.5,1.0,1.0,0.6139393939393939,0.49318182468414307
avg_final,arabic,5,0.5,0.5,0.5064655172413793,0.5,1.0,1.0,0.5907567049808429,0.5
avg_final,arabic,6,0.5,0.5,0.5330459770114943,0.5,1.0,1.0,0.6309865900383141,0.5
avg_final,arabic,7,0.5,0.5,0.5771072796934866,0.6216474771499634,1.0,1.0,0.5761494252873564,0.5
avg_final,arabic,8,0.5,0.5,0.5862068965517242,0.524185836315155,1.0,1.0,0.6242816091954023,0.5
avg_final,arabic,9,0.5,0.5,0.5107758620689655,0.5,1.0,1.0,0.6017720306513409,0.5
avg_final,arabic,10,0.5,0.5,0.5,0.5,1.0,1.0,0.6314655172413792,0.5
avg_final,arabic,11,0.5,0.5,0.5,0.5,1.0,1.0,0.6795977011494253,0.5
avg_final,arabic,12,0.5,0.5,0.5,0.5,1.0,1.0,0.6906130268199233,0.5
avg_final,arabic,13,0.5,0.5,0.5,0.5,1.0,1.0,0.7023467432950192,0.5
avg_final,arabic,14,0.5,0.5,0.6154214559386973,0.5763888955116272,1.0,1.0,0.7104885057471264,0.5
avg_final,arabic,15,1.0,1.0,0.5,0.5,1.0,1.0,0.7203065134099617,0.5
avg_final,arabic,16,0.996666669845581,0.9933333396911621,0.5,0.5,1.0,1.0,0.7229406130268199,0.5
avg_final,arabic,17,0.528333306312561,0.5266666412353516,0.5953065134099615,0.5,1.0,1.0,0.7368295019157087,0.5
avg_final,arabic,18,0.7383333444595337,0.721666693687439,0.49353448275862066,0.5,1.0,1.0,0.75,0.5
avg_final,arabic,19,0.7300000190734863,0.7149999737739563,0.5,0.5,1.0,1.0,0.7227011494252873,0.5
avg_final,arabic,20,0.5,0.5,0.5986590038314177,0.5,1.0,1.0,0.7162356321839081,0.5
avg_final,arabic,21,0.5016666650772095,0.5066666603088379,0.5375957854406131,0.5,1.0,1.0,0.7365900383141762,0.5
avg_final,arabic,22,0.5,0.5,0.5255028735632185,0.5,1.0,1.0,0.7265325670498084,0.5
avg_final,arabic,23,0.5,0.5,0.5646551724137931,0.5256226062774658,1.0,1.0,0.7341954022988506,0.5
avg_final,arabic,24,0.5,0.5,0.5,0.5,1.0,1.0,0.7212643678160919,0.5
avg_final,arabic,25,0.5,0.5,0.5994971264367817,0.5675287246704102,1.0,1.0,0.7497605363984674,0.5
avg_final,arabic,26,0.5,0.5,0.4978448275862069,0.5,1.0,1.0,0.6716954022988506,0.5
avg_final,arabic,27,0.5,0.5,0.5850095785440612,0.5589080452919006,1.0,1.0,0.7045019157088124,0.5
avg_final,arabic,28,0.5,0.5,0.5739942528735632,0.522270143032074,1.0,1.0,0.6989942528735632,0.5
avg_final,arabic,29,0.5,0.5,0.5340038314176245,0.5311302542686462,1.0,1.0,0.626676245210728,0.5
avg_final,arabic,30,0.5,0.5,0.5086206896551724,0.5086206793785095,1.0,1.0,0.5668103448275862,0.5
avg_final,arabic,31,0.5,0.5,0.5,0.5,1.0,1.0,0.5881226053639846,0.5
avg_final,arabic,32,0.5,0.5,0.5,0.5,1.0,1.0,0.6242816091954023,0.5
avg_final,arabic,33,0.5,0.5,0.5,0.5,1.0,1.0,0.61566091954023,0.5
avg_final,arabic,34,0.5,0.5,0.5,0.5,1.0,1.0,0.6420019157088122,0.5
avg_final,arabic,35,0.5,0.5,0.5,0.5,1.0,1.0,0.6408045977011494,0.5
avg_final,english,5,0.5,0.5,0.5756060606060607,0.5121212005615234,1.0,1.0,0.5651515151515152,0.5
avg_final,english,6,0.5,0.5,0.5727272727272726,0.5,1.0,1.0,0.5480303030303031,0.5
avg_final,english,7,0.5,0.5,0.5796969696969696,0.5,1.0,1.0,0.5821212121212122,0.5
avg_final,english,8,1.0,1.0,0.5640909090909091,0.5,1.0,1.0,0.5890909090909091,0.5
avg_final,english,9,1.0,1.0,0.5548484848484848,0.5,1.0,1.0,0.5907575757575757,0.5
avg_final,english,10,1.0,1.0,0.5577272727272727,0.5,1.0,1.0,0.5790909090909091,0.5
avg_final,english,11,1.0,1.0,0.5695454545454545,0.5,1.0,1.0,0.6263636363636363,0.5
avg_final,english,12,1.0,1.0,0.598030303030303,0.5015151500701904,1.0,1.0,0.6756060606060605,0.5
avg_final,english,13,1.0,1.0,0.5848484848484848,0.4962121248245239,1.0,1.0,0.6604545454545454,0.5
avg_final,english,14,1.0,1.0,0.5842424242424242,0.5333333015441895,1.0,1.0,0.6753030303030303,0.5
avg_final,english,15,1.0,1.0,0.608030303030303,0.5,1.0,1.0,0.683939393939394,0.5
avg_final,english,16,1.0,1.0,0.638560606060606,0.5,1.0,1.0,0.7703030303030303,0.5
avg_final,english,17,1.0,1.0,0.5833333333333333,0.5,1.0,1.0,0.7693939393939394,0.5
avg_final,english,18,1.0,1.0,0.514469696969697,0.5,1.0,1.0,0.7792424242424242,0.5
avg_final,english,19,1.0,1.0,0.5,0.5,1.0,1.0,0.7356060606060606,0.5
avg_final,english,20,1.0,1.0,0.5,0.5,1.0,1.0,0.7395454545454546,0.5
avg_final,english,21,1.0,1.0,0.5,0.5,1.0,1.0,0.7527272727272728,0.5
avg_final,english,22,1.0,1.0,0.5,0.5,1.0,1.0,0.7913636363636364,0.5
avg_final,english,23,1.0,1.0,0.5,0.5,1.0,1.0,0.7868181818181819,0.5
avg_final,english,24,1.0,1.0,0.5,0.5,1.0,1.0,0.7222727272727273,0.5
avg_final,english,25,1.0,1.0,0.5,0.5,1.0,1.0,0.6692424242424243,0.5
avg_final,english,26,1.0,1.0,0.5,0.5,1.0,1.0,0.5757575757575758,0.5
avg_final,english,27,1.0,1.0,0.4590909090909091,0.49318182468414307,1.0,1.0,0.5021212121212121,0.5
avg_final,english,28,1.0,1.0,0.4636363636363636,0.48636364936828613,1.0,1.0,0.47363636363636363,0.5
avg_final,english,29,1.0,1.0,0.4431818181818182,0.4681818187236786,1.0,1.0,0.4528787878787879,0.489393949508667
avg_final,english,30,1.0,1.0,0.44765151515151513,0.47727274894714355,1.0,1.0,0.4483333333333333,0.5
avg_final,english,31,1.0,1.0,0.5,0.5,1.0,1.0,0.47348484848484845,0.5
avg_final,english,32,1.0,1.0,0.5,0.5,1.0,1.0,0.44984848484848483,0.5
avg_final,english,33,1.0,1.0,0.4395454545454546,0.4537878930568695,1.0,1.0,0.4625757575757576,0.5
avg_final,english,34,1.0,1.0,0.4137878787878788,0.4121212363243103,1.0,1.0,0.44469696969696965,0.5
avg_final,english,35,1.0,1.0,0.3950757575757576,0.38863635063171387,1.0,1.0,0.425,0.5
avg_final,german,5,0.5078571438789368,0.5083333253860474,0.5789850917431193,0.5,1.0,1.0,0.6129587155963303,0.5
avg_final,german,6,0.5642856955528259,0.5633333325386047,0.5613532110091742,0.5,1.0,1.0,0.6158256880733946,0.5
avg_final,german,7,0.691428542137146,0.6883333325386047,0.5501720183486238,0.5,1.0,1.0,0.5956135321100917,0.5
avg_final,german,8,0.5057142972946167,0.5,0.5596330275229358,0.5,1.0,1.0,0.6188360091743119,0.5
avg_final,german,9,1.0,1.0,0.5702408256880734,0.5,1.0,1.0,0.640625,0.5
avg_final,german,10,0.6492857336997986,0.6399999856948853,0.6085149082568807,0.5,1.0,1.0,0.6751720183486238,0.5
avg_final,german,11,1.0,1.0,0.6118119266055047,0.5,1.0,1.0,0.6958142201834863,0.5
avg_final,german,12,1.0,1.0,0.6275802752293578,0.5,1.0,1.0,0.703125,0.5
avg_final,german,13,1.0,1.0,0.6275802752293578,0.5,1.0,1.0,0.7332282110091743,0.5
avg_final,german,14,1.0,1.0,0.5788417431192661,0.5,1.0,1.0,0.6912270642201835,0.5
avg_final,german,15,1.0,1.0,0.5319667431192661,0.5,1.0,1.0,0.6503727064220184,0.5
avg_final,german,16,1.0,1.0,0.6452121559633028,0.5,1.0,1.0,0.721473623853211,0.5
avg_final,german,17,1.0,1.0,0.6370412844036697,0.5,1.0,1.0,0.7448394495412844,0.5064506530761719
avg_final,german,18,1.0,1.0,0.6177608944954128,0.5355504751205444,1.0,1.0,0.7342316513761468,0.5
avg_final,german,19,1.0,1.0,0.4954128440366972,0.5,1.0,1.0,0.7352350917431193,0.5
avg_final,german,20,1.0,1.0,0.5232224770642202,0.5,1.0,1.0,0.7811066513761469,0.5
avg_final,german,21,1.0,1.0,0.5,0.5,1.0,1.0,0.8307052752293578,0.5
avg_final,german,22,1.0,1.0,0.5,0.5,1.0,1.0,0.8351490825688073,0.5
avg_final,german,23,1.0,1.0,0.5,0.5,1.0,1.0,0.8421731651376145,0.5
avg_final,german,24,1.0,1.0,0.692230504587156,0.5060206651687622,1.0,1.0,0.8512041284403669,0.5
avg_final,german,25,1.0,1.0,0.6567517201834863,0.548451840877533,1.0,1.0,0.8087729357798166,0.5
avg_final,german,26,1.0,1.0,0.49354931192660545,0.5,1.0,1.0,0.714019495412844,0.5
avg_final,german,27,1.0,1.0,0.5436496559633027,0.5286697149276733,1.0,1.0,0.6725917431192661,0.5
avg_final,german,28,1.0,1.0,0.5160550458715596,0.5137614607810974,1.0,1.0,0.5901662844036697,0.5
avg_final,german,29,1.0,1.0,0.5091743119266054,0.5068807601928711,1.0,1.0,0.5944667431192661,0.4954128563404083
avg_final,german,30,1.0,1.0,0.5091743119266054,0.5045871734619141,1.0,1.0,0.5355504587155964,0.5
avg_final,german,31,0.9971428513526917,0.996666669845581,0.5,0.5,1.0,1.0,0.5474483944954128,0.5
avg_final,german,32,0.9992856979370117,1.0,0.5,0.5,1.0,1.0,0.4492545871559633,0.5
avg_final,german,33,0.8857142925262451,0.8866666555404663,0.5,0.5,1.0,1.0,0.46272935779816515,0.5
avg_final,german,34,0.5121428370475769,0.5183333158493042,0.5,0.5,1.0,1.0,0.4912557339449541,0.5
avg_final,german,35,0.5035714507102966,0.503333330154419,0.5,0.5,1.0,1.0,0.45642201834862384,0.5
avg_final,indonesian,5,1.0,1.0,0.5656779661016949,0.5,1.0,1.0,0.5249697336561745,0.5
avg_final,indonesian,6,1.0,1.0,0.5680992736077481,0.5,1.0,1.0,0.47608958837772397,0.5529661178588867
avg_final,indonesian,7,1.0,1.0,0.585956416464891,0.5,1.0,1.0,0.5166464891041163,0.49788135290145874
avg_final,indonesian,8,1.0,1.0,0.5814164648910412,0.5042372941970825,1.0,1.0,0.512409200968523,0.5
avg_final,indonesian,9,1.0,1.0,0.5,0.5,1.0,1.0,0.6077481840193705,0.5
avg_final,indonesian,10,1.0,1.0,0.5084745762711864,0.5,1.0,1.0,0.5953389830508475,0.5
avg_final,indonesian,11,1.0,1.0,0.6331719128329298,0.5593220591545105,1.0,1.0,0.6579903147699758,0.49788135290145874
avg_final,indonesian,12,1.0,1.0,0.5,0.5,1.0,1.0,0.7167070217917676,0.5
avg_final,indonesian,13,0.6600000262260437,0.6399999856948853,0.5,0.5,1.0,1.0,0.665859564164649,0.5
avg_final,indonesian,14,0.822857141494751,0.8149999976158142,0.5,0.5,1.0,1.0,0.6831113801452784,0.5
avg_final,indonesian,15,1.0,0.9983333349227905,0.5853510895883778,0.5275423526763916,1.0,1.0,0.7109564164648909,0.5
avg_final,indonesian,16,0.9964285492897034,0.996666669845581,0.5423728813559322,0.508474588394165,1.0,1.0,0.7493946731234866,0.5
avg_final,indonesian,17,1.0,1.0,0.6752421307506054,0.6404358148574829,1.0,1.0,0.735774818401937,0.5
avg_final,indonesian,18,1.0,0.9983333349227905,0.6192493946731235,0.6156174540519714,1.0,1.0,0.7142857142857143,0.5
avg_final,indonesian,19,0.9599999785423279,0.9483333230018616,0.6104721549636805,0.6201573610305786,1.0,1.0,0.7200363196125908,0.5
avg_final,indonesian,20,0.5,0.5,0.5,0.5,1.0,1.0,0.7363801452784503,0.5
avg_final,indonesian,21,0.5,0.5,0.5063559322033898,0.5021186470985413,1.0,1.0,0.7157990314769975,0.5
avg_final,indonesian,22,0.5,0.5,0.527542372881356,0.5127118825912476,1.0,1.0,0.7666464891041163,0.5
avg_final,indonesian,23,0.5,0.5,0.5,0.5,1.0,1.0,0.8008474576271186,0.5
avg_final,indonesian,24,0.6585714221000671,0.6366666555404663,0.5511501210653753,0.5508474707603455,1.0,1.0,0.7887409200968523,0.5
avg_final,indonesian,25,0.5,0.5,0.5,0.5,1.0,1.0,0.735774818401937,0.5
avg_final,indonesian,26,0.5,0.5,0.5,0.5,1.0,1.0,0.6495157384987894,0.5
avg_final,indonesian,27,0.5,0.5,0.5,0.5,1.0,1.0,0.6098668280871671,0.5
avg_final,indonesian,28,0.5,0.5,0.5,0.5,1.0,1.0,0.5901937046004843,0.5
avg_final,indonesian,29,0.5,0.5,0.5,0.5,1.0,1.0,0.549636803874092,0.5
avg_final,indonesian,30,0.5,0.5,0.5,0.5,1.0,1.0,0.5015133171912832,0.5
